Port Sets,count
17132-17140,16317
17132-17128,16279
17132-17138,16299
17132-17130,16336
17132-17136,16148
17132-17142,12722
17132-17134,12761
17132-34218,2658
17132-34220,2666
17132-33968,2608
17132-34224,2619
17132-34228,2624
17132-33962,2591
17132-33960,2628
17132-33964,2567
17132-34216,2552
17132-34226,2555
17132-33970,2540
17132-33972,2564
17132-34222,1630
17132-34230,1599
17132-33966,1594
17132-33974,1484
17140-17128,16161
17140-17138,16145
17140-17130,16312
17140-17136,16078
17140-17142,12753
17140-17134,12634
17140-34218,2641
17140-34220,2631
17140-33968,2629
17140-34224,2640
17140-34228,2633
17140-33962,2611
17140-33960,2580
17140-33964,2544
17140-34216,2540
17140-34226,2553
17140-33970,2526
17140-33972,2561
17140-34222,1636
17140-34230,1592
17140-33966,1591
17140-33974,1504
17128-17138,16027
17128-17130,16217
17128-17136,16151
17128-17142,12712
17128-17134,12763
17128-34218,2690
17128-34220,2617
17128-33968,2617
17128-34224,2620
17128-34228,2632
17128-33962,2638
17128-33960,2618
17128-33964,2550
17128-34216,2579
17128-34226,2541
17128-33970,2520
17128-33972,2572
17128-34222,1635
17128-34230,1581
17128-33966,1599
17128-33974,1481
17138-17130,16204
17138-17136,16001
17138-17142,12620
17138-17134,12741
17138-34218,2663
17138-34220,2593
17138-33968,2604
17138-34224,2622
17138-34228,2590
17138-33962,2609
17138-33960,2596
17138-33964,2551
17138-34216,2558
17138-34226,2577
17138-33970,2545
17138-33972,2555
17138-34222,1624
17138-34230,1581
17138-33966,1579
17138-33974,1485
17130-17136,16061
17130-17142,12675
17130-17134,12777
17130-34218,2681
17130-34220,2603
17130-33968,2624
17130-34224,2617
17130-34228,2583
17130-33962,2629
17130-33960,2604
17130-33964,2546
17130-34216,2539
17130-34226,2548
17130-33970,2559
17130-33972,2539
17130-34222,1616
17130-34230,1580
17130-33966,1591
17130-33974,1484
17136-17142,12584
17136-17134,12711
17136-34218,2649
17136-34220,2623
17136-33968,2606
17136-34224,2640
17136-34228,2602
17136-33962,2609
17136-33960,2607
17136-33964,2555
17136-34216,2569
17136-34226,2558
17136-33970,2528
17136-33972,2545
17136-34222,1620
17136-34230,1581
17136-33966,1589
17136-33974,1488
23-80,10427
23-8080,10447
23-2323,4340
23-5555,2650
23-81,3469
23-1023,2726
23-52869,2677
23-8443,2657
23-49152,2622
23-7574,2548
23-37215,2560
54594-50401,2344
17142-17134,10340
17142-34218,2412
17142-34220,2372
17142-33968,2389
17142-34224,2415
17142-34228,2379
17142-33962,2402
17142-33960,2379
17142-33964,2311
17142-34216,2319
17142-34226,2335
17142-33970,2330
17142-33972,2315
17142-34222,1511
17142-34230,1475
17142-33966,1476
17142-33974,1378
17134-34218,2441
17134-34220,2398
17134-33968,2387
17134-34224,2405
17134-34228,2357
17134-33962,2388
17134-33960,2366
17134-33964,2305
17134-34216,2348
17134-34226,2366
17134-33970,2306
17134-33972,2315
17134-34222,1519
17134-34230,1470
17134-33966,1489
17134-33974,1385
80-8080,12601
80-2323,4451
80-5555,3887
80-81,3956
80-1023,3986
80-52869,3917
80-8443,3924
80-49152,3869
80-7574,3798
80-37215,3803
8080-2323,4461
8080-5555,3835
8080-81,3933
8080-1023,3965
8080-52869,3900
8080-8443,3896
8080-49152,3847
8080-7574,3769
8080-37215,3770
2323-5555,3645
2323-81,3707
2323-1023,3950
2323-52869,3711
2323-8443,3714
2323-49152,3680
2323-7574,3607
2323-37215,3666
5555-81,3411
5555-1023,3425
5555-52869,3419
5555-8443,3444
5555-49152,3405
5555-7574,3330
5555-37215,3339
81-1023,3481
81-52869,3456
81-8443,3489
81-49152,3438
81-7574,3377
81-37215,3396
1023-52869,3477
1023-8443,3493
1023-49152,3462
1023-7574,3396
1023-37215,3384
52869-8443,3473
52869-49152,3452
52869-7574,3387
52869-37215,3385
8443-49152,3452
8443-7574,3398
8443-37215,3392
49152-7574,3375
49152-37215,3371
7574-37215,3308
34218-34220,1021
34218-33968,1045
34218-34224,1092
34218-34228,999
34218-33962,1038
34218-33960,1026
34218-33964,991
34218-34216,1003
34218-34226,1031
34218-33970,1003
34218-33972,990
34218-34222,722
34218-34230,698
34218-33966,710
34218-33974,668
34220-33968,1035
34220-34224,1049
34220-34228,1000
34220-33962,1018
34220-33960,1002
34220-33964,1015
34220-34216,984
34220-34226,1014
34220-33970,979
34220-33972,990
34220-34222,750
34220-34230,698
34220-33966,705
34220-33974,662
33968-34224,1051
33968-34228,1002
33968-33962,1015
33968-33960,1037
33968-33964,1007
33968-34216,1013
33968-34226,1026
33968-33970,1004
33968-33972,992
33968-34222,727
33968-34230,702
33968-33966,692
33968-33974,666
34224-34228,1009
34224-33962,1029
34224-33960,1031
34224-33964,1005
34224-34216,1023
34224-34226,1027
34224-33970,1012
34224-33972,1018
34224-34222,733
34224-34230,696
34224-33966,719
34224-33974,663
34228-33962,1023
34228-33960,983
34228-33964,981
34228-34216,998
34228-34226,1013
34228-33970,983
34228-33972,956
34228-34222,711
34228-34230,697
34228-33966,677
34228-33974,644
33962-33960,1015
33962-33964,1000
33962-34216,1005
33962-34226,1042
33962-33970,1015
33962-33972,988
33962-34222,723
33962-34230,722
33962-33966,730
33962-33974,673
33960-33964,1005
33960-34216,999
33960-34226,1034
33960-33970,983
33960-33972,996
33960-34222,730
33960-34230,695
33960-33966,705
33960-33974,665
33964-34216,967
33964-34226,1004
33964-33970,993
33964-33972,960
33964-34222,692
33964-34230,691
33964-33966,669
33964-33974,650
34216-34226,1015
