k,regularization,iterations,Validation RMS,Testing RMS
4.0,0.1,15.0,0.93591475,Infinity
4.0,0.1,30.0,0.9364965,Infinity
4.0,0.2,15.0,0.919435,Infinity
4.0,0.2,30.0,0.9199749,Infinity
4.0,0.3,15.0,0.94384086,Infinity
4.0,0.3,30.0,0.9437767,Infinity
7.0,0.1,15.0,0.9411659,Infinity
7.0,0.1,30.0,0.93786365,Infinity
7.0,0.2,15.0,0.91904163,Infinity
7.0,0.2,30.0,0.9180654,Infinity
7.0,0.3,15.0,0.9435657,Infinity
7.0,0.3,30.0,0.9434871,Infinity
9.0,0.1,15.0,0.94236934,Infinity
9.0,0.1,30.0,0.9429981,Infinity
9.0,0.2,15.0,0.9204834,Infinity
9.0,0.2,30.0,0.9209359,Infinity
9.0,0.3,15.0,0.9438445,Infinity
9.0,0.3,30.0,0.94371545,Infinity
11.0,0.1,15.0,0.94223064,Infinity
11.0,0.1,30.0,0.9421664,Infinity
11.0,0.2,15.0,0.9178171,0.92136925
11.0,0.2,30.0,0.91868144,Infinity
11.0,0.3,15.0,0.9432537,Infinity
11.0,0.3,30.0,0.94352746,Infinity
