Port Sets,count
8080-5555,38825
8080-81,39198
8080-1023,39511
8080-52869,38584
8080-8443,38479
8080-49152,38598
8080-7574,37852
8080-37215,37530
2323-5555,36787
2323-81,37221
2323-1023,39450
2323-52869,36747
2323-8443,36689
2323-49152,36809
2323-7574,36163
2323-37215,36649
5555-81,34430
5555-1023,34666
5555-52869,34423
5555-8443,34394
5555-49152,34422
5555-7574,33697
5555-37215,33512
81-1023,34896
81-52869,34409
81-8443,34468
81-49152,34549
81-7574,33866
81-37215,33661
1023-52869,34562
1023-8443,34607
1023-49152,34743
1023-7574,34091
1023-37215,33728
52869-8443,34289
52869-49152,34417
52869-7574,33764
52869-37215,33513
8443-49152,34422
8443-7574,33739
8443-37215,33446
49152-7574,33859
49152-37215,33637
7574-37215,33023
