Port Sets,count
17128-17140-17132,125282
17128-17140-17138,124799
17128-17140-17130,125015
17128-17140-17136,125168
17128-17140-17142,104189
17128-17140-17134,104167
17128-17132-17138,124961
17128-17132-17130,125255
17128-17132-17136,125204
17128-17132-17142,104171
17128-17132-17134,104444
17128-17138-17130,124692
17128-17138-17136,124801
17128-17138-17142,103915
17128-17138-17134,104207
17128-17130-17136,124938
17128-17130-17142,104077
17128-17130-17134,104376
17128-17136-17142,103957
17128-17136-17134,104367
17128-17142-17134,89182
17140-17132-17138,124963
17140-17132-17130,125265
17140-17132-17136,124992
17140-17132-17142,104101
17140-17132-17134,104136
17140-17138-17130,124932
17140-17138-17136,124584
17140-17138-17142,103967
17140-17138-17134,103915
17140-17130-17136,124965
17140-17130-17142,104107
17140-17130-17134,104150
17140-17136-17142,103750
17140-17136-17134,103976
17140-17142-17134,88976
17132-17138-17130,125090
17132-17138-17136,124784
17132-17138-17142,104019
17132-17138-17134,104291
17132-17130-17136,125123
17132-17130-17142,103996
17132-17130-17134,104525
17132-17136-17142,103754
17132-17136-17134,104341
17132-17142-17134,89258
17138-17130-17136,124600
17138-17130-17142,103815
17138-17130-17134,104322
17138-17136-17142,103493
17138-17136-17134,104031
17138-17142-17134,89100
17130-17136-17142,103668
17130-17136-17134,104258
17130-17142-17134,89142
17136-17142-17134,88958
23-80-8080,98897
23-80-2323,30495
23-8080-2323,30361
80-8080-2323,42546
80-8080-5555,38297
80-8080-81,38643
80-8080-1023,38901
80-8080-52869,38117
80-8080-8443,37973
80-8080-49152,38117
80-8080-7574,37400
80-8080-37215,37090
80-2323-5555,36239
80-2323-81,36546
80-2323-1023,38610
80-2323-52869,36197
80-2323-8443,36135
80-2323-49152,36271
80-2323-7574,35628
80-2323-37215,36137
80-5555-81,34187
80-5555-1023,34380
80-5555-52869,34185
80-5555-8443,34098
80-5555-49152,34178
80-5555-7574,33465
80-5555-37215,33288
80-81-1023,34596
80-81-52869,34185
80-81-8443,34188
80-81-49152,34314
80-81-7574,33636
80-81-37215,33434
80-1023-52869,34278
80-1023-8443,34316
80-1023-49152,34452
80-1023-7574,33794
80-1023-37215,33442
80-52869-8443,34044
80-52869-49152,34193
80-52869-7574,33547
80-52869-37215,33298
80-8443-49152,34172
80-8443-7574,33503
80-8443-37215,33226
80-49152-7574,33636
80-49152-37215,33422
80-7574-37215,32802
8080-2323-5555,35973
8080-2323-81,36259
8080-2323-1023,38191
8080-2323-52869,35910
8080-2323-8443,35864
