Port Sets,count
17132-17140-17128,12594
17132-17140-17138,12562
17132-17140-17130,12665
17132-17140-17136,12522
17132-17140-17142,10461
17132-17140-17134,10454
17132-17140-34218,2463
17132-17140-34220,2453
17132-17140-33968,2420
17132-17140-34224,2461
17132-17140-34228,2443
17132-17140-33962,2397
17132-17140-33960,2413
17132-17140-33964,2361
17132-17140-34216,2359
17132-17140-34226,2382
17132-17140-33970,2334
17132-17140-33972,2391
17132-17140-34222,1536
17132-17140-34230,1493
17132-17140-33966,1506
17132-17140-33974,1398
17132-17128-17138,12533
17132-17128-17130,12640
17132-17128-17136,12566
17132-17128-17142,10421
17132-17128-17134,10490
17132-17128-34218,2478
17132-17128-34220,2456
17132-17128-33968,2428
17132-17128-34224,2443
17132-17128-34228,2436
17132-17128-33962,2423
17132-17128-33960,2439
17132-17128-33964,2368
17132-17128-34216,2381
17132-17128-34226,2391
17132-17128-33970,2344
17132-17128-33972,2391
17132-17128-34222,1531
17132-17128-34230,1486
17132-17128-33966,1501
17132-17128-33974,1388
17132-17138-17130,12590
17132-17138-17136,12469
17132-17138-17142,10404
17132-17138-17134,10472
17132-17138-34218,2472
17132-17138-34220,2433
17132-17138-33968,2411
17132-17138-34224,2424
17132-17138-34228,2415
17132-17138-33962,2390
17132-17138-33960,2440
17132-17138-33964,2365
17132-17138-34216,2371
17132-17138-34226,2408
17132-17138-33970,2368
17132-17138-33972,2392
17132-17138-34222,1525
17132-17138-34230,1490
17132-17138-33966,1486
17132-17138-33974,1388
17132-17130-17136,12578
17132-17130-17142,10425
17132-17130-17134,10498
17132-17130-34218,2492
17132-17130-34220,2443
17132-17130-33968,2428
17132-17130-34224,2438
17132-17130-34228,2404
17132-17130-33962,2424
17132-17130-33960,2432
17132-17130-33964,2359
17132-17130-34216,2356
17132-17130-34226,2384
17132-17130-33970,2378
17132-17130-33972,2372
17132-17130-34222,1517
17132-17130-34230,1489
17132-17130-33966,1495
17132-17130-33974,1392
17132-17136-17142,10371
17132-17136-17134,10444
17132-17136-34218,2462
17132-17136-34220,2448
17132-17136-33968,2424
17132-17136-34224,2441
17132-17136-34228,2422
17132-17136-33962,2419
17132-17136-33960,2439
17132-17136-33964,2375
17132-17136-34216,2387
17132-17136-34226,2395
17132-17136-33970,2345
17132-17136-33972,2379
17132-17136-34222,1521
17132-17136-34230,1491
17132-17136-33966,1494
17132-17136-33974,1390
17132-17142-17134,8930
17132-17142-34218,2299
17132-17142-34220,2258
17132-17142-33968,2263
17132-17142-34224,2293
17132-17142-34228,2264
17132-17142-33962,2254
17132-17142-33960,2263
17132-17142-33964,2187
17132-17142-34216,2202
17132-17142-34226,2218
17132-17142-33970,2216
17132-17142-33972,2210
17132-17142-34222,1444
17132-17142-34230,1405
17132-17142-33966,1418
17132-17142-33974,1300
17132-17134-34218,2315
17132-17134-34220,2295
17132-17134-33968,2263
17132-17134-34224,2282
17132-17134-34228,2252
17132-17134-33962,2241
17132-17134-33960,2262
17132-17134-33964,2186
17132-17134-34216,2222
17132-17134-34226,2259
17132-17134-33970,2191
17132-17134-33972,2207
17132-17134-34222,1459
17132-17134-34230,1404
17132-17134-33966,1420
17132-17134-33974,1320
17132-34218-34220,1008
17132-34218-33968,1031
17132-34218-34224,1076
17132-34218-34228,985
17132-34218-33962,1025
17132-34218-33960,1012
17132-34218-33964,981
17132-34218-34216,994
17132-34218-34226,1016
17132-34218-33970,995
17132-34218-33972,976
17132-34218-34222,718
17132-34218-34230,692
17132-34218-33966,703
17132-34218-33974,658
17132-34220-33968,1024
17132-34220-34224,1039
17132-34220-34228,990
17132-34220-33962,1006
17132-34220-33960,990
17132-34220-33964,1005
17132-34220-34216,976
17132-34220-34226,1005
17132-34220-33970,970
17132-34220-33972,980
17132-34220-34222,740
17132-34220-34230,690
17132-34220-33966,697
17132-34220-33974,654
17132-33968-34224,1030
17132-33968-34228,991
17132-33968-33962,1001
17132-33968-33960,1025
17132-33968-33964,991
17132-33968-34216,1002
17132-33968-34226,1010
17132-33968-33970,992
17132-33968-33972,974
17132-33968-34222,720
17132-33968-34230,694
17132-33968-33966,689
17132-33968-33974,656
17132-34224-34228,1004
17132-34224-33962,1010
17132-34224-33960,1017
17132-34224-33964,988
17132-34224-34216,1009
17132-34224-34226,1020
17132-34224-33970,998
17132-34224-33972,1006
17132-34224-34222,728
17132-34224-34230,688
17132-34224-33966,710
17132-34224-33974,650
17132-34228-33962,1011
17132-34228-33960,973
17132-34228-33964,973
17132-34228-34216,991
17132-34228-34226,995
17132-34228-33970,964
17132-34228-33972,945
17132-34228-34222,704
17132-34228-34230,685
17132-34228-33966,670
17132-34228-33974,633
17132-33962-33960,1006
17132-33962-33964,985
17132-33962-34216,993
17132-33962-34226,1029
17132-33962-33970,1001
17132-33962-33972,969
17132-33962-34222,719
17132-33962-34230,706
17132-33962-33966,720
17132-33962-33974,664
17132-33960-33964,998
17132-33960-34216,986
17132-33960-34226,1025
17132-33960-33970,973
17132-33960-33972,987
17132-33960-34222,724
17132-33960-34230,686
17132-33960-33966,700
17132-33960-33974,659
17132-33964-34216,957
17132-33964-34226,990
17132-33964-33970,983
17132-33964-33972,951
17132-33964-34222,684
17132-33964-34230,678
17132-33964-33966,666
17132-33964-33974,647
17132-34216-34226,1006
17132-34216-33970,987
17132-34216-33972,974
17132-34216-34222,694
17132-34216-34230,694
17132-34216-33966,675
17132-34216-33974,656
17132-34226-33970,986
17132-34226-33972,1014
17132-34226-34222,705
17132-34226-34230,696
17132-34226-33966,697
17132-34226-33974,672
17132-33970-33972,953
17132-33970-34222,720
17132-33970-34230,674
17132-33970-33966,673
17132-33970-33974,635
17132-33972-34222,712
17132-33972-34230,685
17132-33972-33966,652
17132-33972-33974,629
17132-34222-34230,495
17132-34222-33966,508
17132-34222-33974,491
17132-34230-33966,521
17132-34230-33974,476
17132-33966-33974,469
17140-17128-17138,12404
17140-17128-17130,12562
17140-17128-17136,12501
17140-17128-17142,10434
17140-17128-17134,10376
17140-17128-34218,2478
17140-17128-34220,2435
17140-17128-33968,2446
17140-17128-34224,2442
17140-17128-34228,2438
17140-17128-33962,2439
17140-17128-33960,2406
17140-17128-33964,2351
17140-17128-34216,2370
17140-17128-34226,2364
17140-17128-33970,2337
17140-17128-33972,2384
17140-17128-34222,1545
17140-17128-34230,1486
17140-17128-33966,1497
17140-17128-33974,1397
17140-17138-17130,12550
17140-17138-17136,12430
17140-17138-17142,10400
17140-17138-17134,10372
17140-17138-34218,2451
17140-17138-34220,2414
17140-17138-33968,2420
17140-17138-34224,2434
17140-17138-34228,2416
17140-17138-33962,2410
17140-17138-33960,2404
17140-17138-33964,2346
17140-17138-34216,2364
17140-17138-34226,2391
17140-17138-33970,2353
17140-17138-33972,2386
17140-17138-34222,1537
17140-17138-34230,1480
17140-17138-33966,1478
17140-17138-33974,1399
17140-17130-17136,12511
17140-17130-17142,10438
17140-17130-17134,10443
17140-17130-34218,2474
17140-17130-34220,2423
17140-17130-33968,2439
17140-17130-34224,2449
17140-17130-34228,2412
17140-17130-33962,2427
17140-17130-33960,2402
17140-17130-33964,2353
17140-17130-34216,2345
17140-17130-34226,2369
17140-17130-33970,2358
17140-17130-33972,2371
17140-17130-34222,1532
17140-17130-34230,1491
17140-17130-33966,1487
17140-17130-33974,1409
17140-17136-17142,10352
17140-17136-17134,10395
17140-17136-34218,2445
17140-17136-34220,2418
17140-17136-33968,2430
17140-17136-34224,2442
17140-17136-34228,2415
17140-17136-33962,2417
17140-17136-33960,2404
17140-17136-33964,2357
17140-17136-34216,2371
17140-17136-34226,2370
17140-17136-33970,2332
17140-17136-33972,2371
17140-17136-34222,1522
17140-17136-34230,1487
17140-17136-33966,1485
17140-17136-33974,1396
17140-17142-17134,8883
17140-17142-34218,2282
17140-17142-34220,2234
17140-17142-33968,2267
17140-17142-34224,2302
17140-17142-34228,2263
17140-17142-33962,2263
17140-17142-33960,2240
17140-17142-33964,2186
17140-17142-34216,2199
17140-17142-34226,2218
17140-17142-33970,2177
17140-17142-33972,2212
17140-17142-34222,1454
17140-17142-34230,1410
17140-17142-33966,1413
17140-17142-33974,1308
17140-17134-34218,2301
17140-17134-34220,2277
17140-17134-33968,2262
17140-17134-34224,2288
17140-17134-34228,2251
17140-17134-33962,2256
17140-17134-33960,2247
17140-17134-33964,2180
17140-17134-34216,2216
17140-17134-34226,2247
17140-17134-33970,2172
17140-17134-33972,2212
17140-17134-34222,1459
17140-17134-34230,1406
17140-17134-33966,1410
17140-17134-33974,1321
17140-34218-34220,1001
17140-34218-33968,1032
17140-34218-34224,1076
17140-34218-34228,984
17140-34218-33962,1024
17140-34218-33960,1007
17140-34218-33964,979
17140-34218-34216,991
17140-34218-34226,1012
17140-34218-33970,990
17140-34218-33972,975
17140-34218-34222,714
17140-34218-34230,687
17140-34218-33966,695
17140-34218-33974,655
17140-34220-33968,1023
17140-34220-34224,1032
17140-34220-34228,983
17140-34220-33962,1002
17140-34220-33960,984
17140-34220-33964,995
17140-34220-34216,971
17140-34220-34226,993
17140-34220-33970,967
17140-34220-33972,975
17140-34220-34222,744
17140-34220-34230,686
17140-34220-33966,693
17140-34220-33974,653
17140-33968-34224,1035
17140-33968-34228,994
17140-33968-33962,998
17140-33968-33960,1018
17140-33968-33964,992
17140-33968-34216,995
17140-33968-34226,1009
17140-33968-33970,990
17140-33968-33972,979
17140-33968-34222,721
17140-33968-34230,693
17140-33968-33966,686
17140-33968-33974,653
17140-34224-34228,999
17140-34224-33962,1012
17140-34224-33960,1014
17140-34224-33964,991
17140-34224-34216,1007
17140-34224-34226,1015
17140-34224-33970,996
17140-34224-33972,1004
17140-34224-34222,719
17140-34224-34230,684
17140-34224-33966,708
17140-34224-33974,644
17140-34228-33962,1005
17140-34228-33960,971
17140-34228-33964,970
17140-34228-34216,981
17140-34228-34226,993
17140-34228-33970,969
17140-34228-33972,941
17140-34228-34222,704
17140-34228-34230,691
17140-34228-33966,669
17140-34228-33974,636
17140-33962-33960,992
17140-33962-33964,993
17140-33962-34216,985
17140-33962-34226,1023
17140-33962-33970,997
17140-33962-33972,972
17140-33962-34222,713
17140-33962-34230,706
17140-33962-33966,715
17140-33962-33974,659
17140-33960-33964,992
17140-33960-34216,978
17140-33960-34226,1015
17140-33960-33970,961
17140-33960-33972,977
17140-33960-34222,718
17140-33960-34230,684
17140-33960-33966,694
17140-33960-33974,655
17140-33964-34216,956
17140-33964-34226,985
17140-33964-33970,982
17140-33964-33972,945
17140-33964-34222,687
17140-33964-34230,674
17140-33964-33966,668
17140-33964-33974,643
17140-34216-34226,1001
17140-34216-33970,975
17140-34216-33972,966
17140-34216-34222,693
17140-34216-34230,694
17140-34216-33966,668
17140-34216-33974,649
17140-34226-33970,985
17140-34226-33972,1012
17140-34226-34222,706
17140-34226-34230,690
17140-34226-33966,697
17140-34226-33974,667
17140-33970-33972,952
17140-33970-34222,719
17140-33970-34230,674
17140-33970-33966,670
17140-33970-33974,634
17140-33972-34222,708
17140-33972-34230,685
17140-33972-33966,648
17140-33972-33974,628
17140-34222-34230,491
17140-34222-33966,508
17140-34222-33974,489
17140-34230-33966,516
17140-34230-33974,476
17140-33966-33974,463
17128-17138-17130,12507
17128-17138-17136,12422
17128-17138-17142,10378
17128-17138-17134,10430
17128-17138-34218,2474
17128-17138-34220,2410
17128-17138-33968,2412
17128-17138-34224,2421
17128-17138-34228,2415
17128-17138-33962,2422
17128-17138-33960,2420
17128-17138-33964,2363
17128-17138-34216,2369
17128-17138-34226,2393
17128-17138-33970,2359
17128-17138-33972,2378
17128-17138-34222,1535
17128-17138-34230,1472
17128-17138-33966,1488
17128-17138-33974,1387
17128-17130-17136,12523
17128-17130-17142,10425
17128-17130-17134,10492
17128-17130-34218,2497
17128-17130-34220,2423
17128-17130-33968,2430
17128-17130-34224,2444
17128-17130-34228,2410
17128-17130-33962,2448
17128-17130-33960,2423
17128-17130-33964,2351
17128-17130-34216,2375
17128-17130-34226,2365
17128-17130-33970,2363
17128-17130-33972,2372
17128-17130-34222,1536
17128-17130-34230,1472
17128-17130-33966,1496
17128-17130-33974,1397
17128-17136-17142,10338
17128-17136-17134,10418
17128-17136-34218,2476
17128-17136-34220,2421
17128-17136-33968,2434
17128-17136-34224,2439
