numports,count
1,153399
2,24114
3,16206
4,5952
5,4400
6,3392
7,2924
8,2779
9,2669
11,2500
10,2225
12,2120
13,641
14,493
15,371
16,335
17,274
18,259
19,210
24,157
20,147
22,145
21,139
23,124
25,118
27,57
26,57
28,40
653,38
29,37
31,33
30,30
32,27
33,24
34,18
36,18
37,17
35,17
38,15
44,13
39,13
41,12
54,10
43,10
46,10
40,9
62,9
56,9
654,8
61,8
45,8
98,8
42,8
53,7
55,7
87,7
58,7
48,6
83,6
68,6
81,5
47,5
52,5
57,5
120,5
64,5
59,5
51,5
79,5
67,5
65,4
93,4
86,4
235,4
72,4
49,4
70,4
90,4
105,4
66,4
104,4
78,3
101,3
128,3
96,3
257,3
112,3
127,3
107,3
69,3
77,3
102,3
82,3
125,3
141,3
106,3
71,3
116,3
124,3
137,2
133,2
193,2
126,2
210,2
76,2
91,2
152,2
142,2
92,2
117,2
88,2
130,2
84,2
136,2
314,2
63,2
50,2
261,2
113,2
143,2
95,2
256,2
195,2
75,2
145,2
110,2
242,2
118,2
184,2
74,2
1238,1
31161,1
85,1
2247,1
362,1
35133,1
6419,1
115,1
36794,1
4843,1
1294,1
811,1
1280,1
2727,1
236,1
103,1
23589,1
14775,1
233,1
157,1
346,1
28896,1
8178,1
111,1
519,1
140,1
38803,1
2796,1
146,1
206,1
218,1
15151,1
168,1
139,1
283,1
295,1
881,1
6171,1
377,1
65386,1
15466,1
6088,1
292,1
1499,1
14541,1
491,1
1167,1
266,1
163,1
560,1
419,1
35889,1
554,1
269,1
207,1
197,1
202,1
3571,1
6354,1
58690,1
1205,1
173,1
114,1
100,1
161,1
629,1
176,1
162,1
549,1
1494,1
3158,1
824,1
331,1
391,1
129,1
4778,1
166,1
97,1
16426,1
38249,1
8802,1
952,1
364,1
80,1
160,1
818,1
3259,1
121,1
351,1
156,1
37066,1
1687,1
28524,1
323,1
4342,1
790,1
371,1
60,1
265,1
457,1
151,1
341,1
200,1
272,1
1622,1
680,1
109,1
655,1
170,1
354,1
888,1
150,1
825,1
369,1
260,1
561,1
14698,1
317,1
198,1
123,1
158,1
248,1
566,1
119,1
201,1
149,1
2624,1
357,1
573,1
4953,1
37167,1
985,1
99,1
942,1
313,1
282,1
2456,1
12979,1
172,1
399,1
3701,1
144,1
1278,1
39692,1
180,1
468,1
134,1
701,1
63141,1
89,1
